# Directed graph: kronecker_graph2.txt 
# Kronecker Graph: seed matrix [0.9 0.5; 0.5 0.1]
# Nodes: 1024 Edges: 1024
# FromNodeId	ToNodeId
0	16
0	18
0	69
0	86
0	138
0	239
0	244
0	256
0	270
0	290
0	322
0	354
0	384
0	410
0	496
0	515
0	529
0	538
0	654
0	664
0	688
0	873
0	906
0	920
1	0
1	9
1	15
1	96
1	128
1	179
1	204
1	208
1	272
1	319
1	809
1	928
2	160
2	274
2	288
2	336
2	384
2	563
2	580
2	680
3	0
3	41
3	104
3	128
3	528
3	776
4	3
4	18
4	36
4	64
4	65
4	130
4	170
4	253
4	272
4	337
4	665
4	774
4	780
4	928
5	0
5	33
5	66
5	72
5	376
5	762
6	52
6	512
6	640
6	788
7	600
7	800
8	10
8	19
8	72
8	89
8	101
8	104
8	132
8	536
9	4
9	16
9	48
9	116
9	135
9	266
9	354
9	384
10	130
10	379
10	437
10	533
10	592
10	832
10	869
11	64
11	516
12	81
12	130
12	289
12	320
12	355
12	753
12	794
12	978
13	2
13	322
13	864
14	34
14	64
14	200
14	549
14	620
15	260
16	20
16	33
16	168
16	257
16	391
16	581
16	644
16	898
17	2
17	130
17	276
17	314
17	537
17	705
17	836
17	934
18	16
18	195
19	0
19	225
19	389
20	67
20	68
20	656
20	841
21	144
22	12
22	133
22	584
23	120
24	41
24	341
24	578
24	640
24	656
25	36
25	76
25	384
26	576
27	100
28	33
28	402
28	801
28	835
29	17
29	32
30	32
30	608
32	14
32	208
32	425
32	515
32	519
32	528
32	896
32	964
33	32
33	65
33	196
33	256
33	406
33	536
33	644
34	4
34	92
34	132
34	249
34	800
34	976
35	128
35	640
35	721
36	266
36	322
36	483
37	216
37	668
38	274
38	517
39	176
40	20
40	83
40	85
40	114
40	533
40	596
41	38
41	66
41	270
42	0
43	768
44	873
45	400
45	896
48	134
48	342
48	588
50	207
50	392
50	899
50	968
52	514
53	136
53	456
53	705
56	2
56	8
56	708
56	872
56	902
57	544
58	64
58	768
60	896
64	6
64	32
64	35
64	152
64	163
64	273
64	297
64	385
64	560
64	773
64	923
65	194
65	256
65	532
65	656
65	859
65	930
66	59
66	92
66	124
66	300
66	529
66	536
66	560
66	721
66	849
67	128
67	148
67	644
68	34
68	176
68	320
68	521
69	428
70	96
70	193
70	537
70	546
72	33
72	276
72	612
72	654
72	768
74	2
74	17
74	384
74	512
74	685
75	40
76	32
76	160
78	257
80	0
80	4
80	32
80	163
80	164
80	514
80	866
81	262
82	516
82	584
84	98
84	257
84	289
84	512
84	609
85	12
86	749
90	0
90	417
94	11
96	0
96	64
96	131
96	210
96	261
96	270
96	597
97	18
97	26
97	138
97	256
97	774
98	256
98	262
98	896
99	0
100	323
100	712
101	18
101	384
101	539
102	136
104	463
104	512
104	526
104	777
105	1
105	385
107	129
108	0
109	386
110	256
112	258
112	397
113	128
114	398
114	514
115	10
115	256
120	0
121	69
121	385
122	323
127	288
128	24
128	63
128	92
128	103
128	129
128	146
128	147
128	257
128	261
128	272
128	522
128	524
128	542
129	48
129	518
129	530
130	0
130	3
130	81
130	242
130	526
131	128
131	327
131	823
132	48
132	88
132	289
132	324
133	192
133	256
133	778
134	81
134	808
135	799
136	19
136	33
136	268
136	352
136	518
136	788
137	0
137	130
137	368
137	580
138	259
139	32
139	68
139	290
139	704
139	768
140	608
141	360
142	4
144	112
144	259
144	512
144	513
145	10
145	106
145	392
145	621
145	769
146	32
146	52
146	324
147	2
147	12
147	323
147	324
148	519
148	640
148	826
149	522
149	786
152	84
153	332
156	280
160	3
160	9
160	44
160	48
160	73
160	528
160	752
160	800
161	258
161	774
162	6
162	17
162	25
162	72
162	113
162	404
162	417
162	512
163	516
164	18
164	264
166	64
166	640
168	132
168	723
169	10
169	22
169	80
172	498
173	582
176	8
176	977
177	84
177	288
178	459
181	64
184	72
188	514
188	850
192	15
192	60
192	105
192	296
192	304
192	318
192	789
193	544
193	768
194	329
196	26
196	881
197	8
199	640
200	11
200	32
200	298
200	560
201	38
201	82
201	104
204	513
205	579
208	256
208	398
212	873
213	288
213	704
216	1
216	256
218	769
224	513
224	640
225	74
225	388
225	520
226	264
226	531
227	0
227	273
233	294
235	648
240	648
251	710
254	838
256	16
256	69
256	86
256	114
256	202
256	428
256	546
256	560
256	616
256	648
256	801
256	900
257	64
257	178
257	224
257	580
257	635
257	787
258	28
258	108
258	132
258	512
258	704
259	18
259	60
259	74
259	417
260	0
260	83
260	243
260	264
261	98
